H	23	255	204	204
D	23	204	204	255
He	61	252	233	207
Li	79	134	224	116
Be	56	95	216	123
B	41	32	162	15
C	39	129	73	41
N	37	176	186	230
O	37	255	3	0
F	36	176	186	230
Ne	80	255	56	181
Na	96	250	221	61
Mg	80	252	124	22
Al	72	129	179	214
Si	59	27	59	250
P	55	193	156	195
S	52	255	250	0
Cl	50	50	252	3
Ar	96	207	254	197
K	118	161	34	247
Ca	99	91	150	190
Sc	82	182	99	172
Ti	74	120	202	255
V	68	230	26	0
Cr	65	0	0	158
Mn	69	169	9	158
Fe	63	181	114	0
Co	63	0	0	175
Ni	63	184	188	190
Cu	64	34	71	221
Zn	69	143	144	130
Ga	77	159	228	116
Ge	61	126	111	166
As	61	117	208	87
Se	52	154	239	16
Br	57	127	49	3
Kr	99	250	193	243
Rb	125	255	0	153
Sr	108	0	255	39
Y	91	103	152	142
Zr	80	0	255	0
Nb	74	76	179	118
Mo	70	180	134	176
Tc	68	205	175	203
Ru	67	207	184	174
Rh	67	206	210	171
Pd	69	194	196	185
Ag	72	184	188	190
Cd	76	243	31	220
In	84	215	129	187
Sn	79	155	143	186
Sb	71	216	131	80
Te	69	173	162	82
I	67	143	31	139
Xe	109	155	161	248
Cs	136	15	255	185
Ba	112	30	240	45
La	94	90	196	73
Ce	91	209	253	6
Pr	91	253	226	6
Nd	91	252	142	7
Pm	91	0	0	245
Sm	91	253	6	125
Eu	103	251	8	213
Gd	90	192	4	255
Tb	89	113	4	254
Dy	89	49	6	253
Ho	88	7	66	251
Er	88	73	115	59
Tm	50	0	0	224
Yb	97	39	253	244
Lu	86	38	253	181
Hf	80	180	180	89
Ta	74	183	155	86
W	71	142	138	128
Re	69	179	177	142
Os	68	201	177	121
Ir	68	201	207	115
Pt	70	204	198	191
Au	72	254	179	56
Hg	78	211	184	204
Tl	86	150	137	109
Pb	88	83	83	91
Bi	91	210	48	248
Po	89	0	0	255
At	31	0	0	255
Rn	40	255	255	0
Fr	50	0	0	0
Ra	118	110	170	89
Ac	102	100	158	115
Th	90	38	254	120
Pa	82	41	251	53
U	78	122	162	170
Np	78	77	77	77
Pu	82	77	77	77
Am	87	77	77	77
XX	40	77	77	77
